가식부 100g 당 (Per 100g Edible Portion),일반성분 Proximates,,,,무기질 Minerals,,,,,,,
식품명,칼로리,단백질,지방,"탄수
화물",칼슘,나트륨,철,인,칼륨,비타민 B1,비타민 B2,비타민 C
,kcal,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg
,,,,,,,,,,,,
식품명,Energy,Protein,Fat,Carbohydrate,Calcium,Sodium,Iron,P,K,VitaminB1,VitaminB2,VitaminC
"게, 꽃게, 생것",77,16.19,0.7,0.43,127,418,0.74,137,216,0.04,0.12,0
"게, 꽃게, 찐것",83,17.88,0.74,0,91,395,0.5,234,259,0.023,0.093,3.3
"게, 닭게, 삶은것",74,16.1,0.3,0.6,42,0,5.4,117,0,0,0.03,0
"게, 닭게, 생것",70,15.2,0.5,0.1,95,0,0.8,179,0,0.2,0.37,0
"게, 대게, 삶아서 말린것",316,66.7,2.6,2,669,0,3.9,681,0,0.1,0.1,1
"게, 대게, 삶은것",69,15,0.6,0.1,120,240,0.7,150,240,0.21,0.57,0
"게, 대게, 생것",85,17.4,1,0.5,158,475,0.5,114,0,0.02,0.06,0
"게, 대게, 영덕, 생것",60,8.4,2.6,0.1,78,475,1.1,127,200,0.02,0.06,0
"게, 대게, 통조림",73,16.3,0.4,0.2,68,670,0.5,120,21,0,0.03,0
"게, 민꽃게, 생것",85,14.8,1.6,2,79,0,1.9,239,0,0,0,0
"게, 반게, 생것",70,12.3,1.6,0.8,4278,130,3.8,287,160,0.07,0.31,0
"게, 방게, 생것",66,11.9,1.3,0.9,4668,134,4.8,295,165,0.03,0.09,0
"게, 왕게, 삶은것",80,17.5,0.5,0.3,48,310,0.2,190,230,0.07,0.06,0
"게, 왕게, 생것",67,13.7,0.7,0.6,69,550,2.1,159,370,0.04,0.08,0
"게, 주름송편게, 생것",87,18.8,0.3,1.1,66,0,0.6,239,0,0,0,0
"게, 참게, 생것",171,14.4,12,0.2,359,0,11.4,440,0,0.04,0.25,1
"게걸무, 생것",59,2.3,0.1,13.6,42,18,1.3,34,426,0.13,0.01,16
"게걸무, 잎, 생것",23,2.7,0.2,4.2,106,24,10.7,55,490,0.11,0.34,25
"게르치, 삶은것",173,22.2,8.4,0,49,80,0.6,230,410,0.04,0.16,0
"게르치, 생것",156,20.8,7.5,0,44,85,0.8,204,390,0.05,0.2,0
게맛살,118,10.6,0.1,18.6,218,792,0.8,199,108,0.03,0.12,0
"게살죽, 끓인것",71,2.2,0.9,13.4,13,182,1,24,43,0.05,0.05,0
"게젓, 닭게젓, 염절임",61,12.2,0.6,0.8,3750,0,3.4,170,0,0.1,0.5,0
겨자 페이스트,315,5.9,14.5,40.1,60,2900,2.1,120,190,0.22,0.07,0
"겨자 페이스트, 연겨자, 겨자 가루 21%",296,8.01,12.7,37.36,101,1423,2.05,211,223,0.281,0.165,0
"겨자, 가루",413,18.35,22.68,49.97,383,1,10.77,1041,930,0.388,0.719,3.72
"겨자, 적겨자, 생것",24,3.03,0.17,4.19,256,36,3.09,55,529,0.277,0.277,0
"결명자차, 말린것",391,19.8,4.9,67,372,5,4.8,507,1210,0,0.57,0
"계피, 가루",343,3.55,0.51,81.07,1281,67,28.24,63,754,0.287,0.106,0
"계피차, 가루 ",357,0,1.4,89,0,5,2.3,14,745,1.49,0.37,0
"고구마, 말린것",312,2.3,0.1,75.7,4,0,3.5,102,989,0.13,0.1,18
"고구마, 베니하루까, 생것",147,1.03,0.45,34.91,23,13,0.55,57,359,0.085,0.02,44.82
"고구마, 분질(밤) 고구마, 구운것",189,1.01,0.16,45.96,17,10,0.56,54,431,0.075,0.037,6.44
"고구마, 분질(밤) 고구마, 생것",154,1.01,0.11,37.19,15,7,0.45,49,370,0.065,0.027,7.12
"고구마, 분질(밤) 고구마, 찐것",169,1.07,0.15,40.92,17,7,0.42,47,461,0.06,0.025,15.36
"고구마, 신율미, 생것",164,1,0.61,38.84,16,47,0.45,52,237,0.093,0.017,36.63
"고구마, 신자미, 생것",107,1.3,0.1,25.5,34,10,1.1,53,506,0.12,0.05,0
"고구마, 연황미, 생것",127,1.1,0,30.7,42,14,0.8,62,451,0.18,0.04,0
"고구마, 잎, 데친것",41,3.44,0.62,5.8,186,1,3.38,29,376,0,0.227,0
"고구마, 잎, 생것",47,3.92,0.44,7.34,196,0,5.64,36,794,0.227,0.297,8.31
"고구마, 점질(호박) 고구마, 구운것",186,1.25,0.16,44.98,21,9,0.66,63,459,0.132,0.051,14.49
"고구마, 점질(호박) 고구마, 생것",141,1.17,0.2,33.77,21,8,0.52,55,379,0.086,0.034,14.49
"고구마, 점질(호박) 고구마, 찐것",157,1.1,0.15,37.91,23,5,0.46,57,394,0.108,0.031,30.62
"고구마, 주황미, 생것",105,1,0.1,25.1,28,14,0.9,57,516,0.15,0.04,0
"고구마, 줄기(껍질 포함), 데친것",22,0.74,0.06,4.65,126,2,0.4,26,279,0.057,0.023,0.02
"고구마, 줄기(껍질 포함), 삶아서 말린것, 삶은것",33,0.52,0.06,7.51,206,6,0.52,9,68,0,0.03,0.16
"고구마, 줄기(껍질 포함), 생것",23,0.88,0.03,4.96,132,1,0.33,30,370,0.072,0.022,0.62
"고구마, 줄기, 데친것",17,0.59,0.05,3.64,89,1,0.31,11,364,0.006,0.016,0
"고구마, 줄기, 말린것",332,6.07,0.47,75.53,1166,12,7.11,270,4939,0.197,1.084,0
"고구마, 줄기, 삶아서 말린것, 삶은것",23,0.48,0.11,4.96,125,3,0.45,8,31,0,0.01,0
"고구마, 줄기, 삶은것",14,0.45,0.05,2.88,65,1,0.26,9,184,0.057,0.011,0
"고구마, 줄기, 생것",18,0.76,0.02,3.63,92,1,0.41,15,559,0.023,0.016,1.7
"고구마, 진홍미, 생것",140,1.2,0,33.8,43,9,0.8,51,556,0.15,0.03,1
"고구마, 찐것",130,1.5,0,31.3,16,2,1,53,548,0.08,0.1,19
"고기 소스, 소불고기양념",181,2.17,0.01,42.98,7,1964,0.61,32,150,0.041,0.445,0
"고기 소스, 통조림",101,3.8,5,10.1,17,610,0.8,47,250,0.14,0.05,6
"고둥, 갈색고리돼지고둥, 생것",92,16.1,0.7,4.3,419,0,5,122,0,0,0,0
"고둥, 갈색띠매물고둥, 생것",78,15.1,0.2,3,36,0,1.6,118,0,0.02,0.12,2
"고둥, 관절매물고둥(보라골뱅이), 생것",103,17.7,1.1,4.5,94,0,2.3,117,0,0.15,0.24,1
"고둥, 긴고둥(긴뿔고둥), 생것",116,17.2,2.7,4.8,122,215,7.2,177,300,0.06,0.1,2
"고둥, 나팔고둥, 생것",110,15.9,3,3.9,95,217,5,185,323,0.05,0.2,2
"고둥, 두드럭고둥, 생것",88,14.2,0.7,5.5,68,0,2.1,150,0,0,0,0
"고둥, 매끈이고둥, 생것",109,22.5,0.4,2.3,97,0,2.5,145,0,0.04,0.23,3
"고둥, 물레고둥, 생것",88,17.1,0.3,3.2,587,0,2.1,197,0,0.05,0.12,2
"고둥, 민허리돼지고둥, 생것",104,16.5,2.4,3.2,193,0,7.2,148,0,0.07,0.26,2
"고둥, 보말고둥, 삶은것",105,18.4,0.7,5.3,90,446,1.4,105,250,0.01,0.11,0
"고둥, 보말고둥, 생것",92,14.6,2.2,2.6,240,0,12.9,165,0,0.04,0.2,2
