가식부 100g 당 (Per 100g Edible Portion),일반성분 Proximates,,,,무기질 Minerals,,,,,,,
식품명,칼로리,단백질,지방,"탄수
화물",칼슘,나트륨,철,인,칼륨,비타민 B1,비타민 B2,비타민 C
,kcal,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg
,,,,,,,,,,,,
식품명,Energy,Protein,Fat,Carbohydrate,Calcium,Sodium,Iron,P,K,VitaminB1,VitaminB2,VitaminC
"삼채, 데친것",28,2.04,0.27,5.77,71,3,0.73,46,296,0.119,0.113,12.31
"삼채, 뿌리, 생것",49,0.77,0.04,12.15,64,15,5.78,63,195,0.06,0.083,0.73
"삼채, 생것",23,1.55,0.13,4.99,60,2,0.83,49,318,0.101,0.12,12.31
"삼채, 잎, 생것",24,1.95,0.2,4.8,60,4,3.75,46,404,0,0.099,0.59
"삼채, 줄기, 생것",19,0.78,0.09,4.65,95,2,0.64,44,25,0.077,0.076,0.54
"삼치, 구운것",202,23.6,10.8,0.1,22,90,0.9,310,610,0.09,0.34,0
"삼치, 생것",112,20.08,2.93,0,5,39,0.1,211,387,0.08,0.06,0
"삼치, 줄삼치, 생것",134,24.6,3.1,0.2,41,0,2.1,177,0,0.18,0.16,0
"삼치, 평삼치, 생것",120,17.9,4.8,0,20,0,0.7,242,0,0.03,0.09,0
"삼치젓, 염절임",107,22.7,1.1,0,2,0,0,19,0,0,0,0
"삽주나물, 생것",52,5.3,1.3,7.9,108,0,4.4,86,0,0.18,0.14,11
"상어 부산물, 알, 생것",321,25,23.5,0.5,0,0,0,326,0,0,0,0
"상어, 가래상어, 생것",100,22.2,0.5,0.1,59,0,0.7,190,0,0.12,0.14,0
"상어, 곱상어, 생것",161,16.2,10,0.3,6,0,2,131,0,0.04,0.05,0
"상어, 까치상어, 생것",113,24.1,0.7,0.9,19,0,7.8,176,0,0.06,0.15,0
"상어, 돔발상어, 생것",293,17.9,23.5,1.1,72,0,2.4,314,0,0,0,0
"상어, 두툽상어, 생것",95,21.4,0.3,0.3,22,0,0.7,196,0,0.02,0.05,0
"상어, 망상어, 생것",90,18.9,0.9,0.2,44,0,1,217,0,0.08,0.1,0
"상어, 모조리상어, 생것",108,21.7,1.7,0,83,0,1.5,252,0,0.11,0.15,0
"상어, 별상어, 생것",104,23.5,0.3,0.3,27,0,0.6,245,0,0.1,0.12,0
"상어, 악상어, 생것",276,13.4,24.2,0,30,0,4.2,168,0,0,0,0
"상어, 은상어, 생것",102,22.9,0.5,0,89,0,0.9,217,0,0.07,0.1,0
"상어, 지느러미, 생것",345,80.7,0,0,64,180,2.4,24,3,0,0,0
"상어, 청새리상어, 생것",101,18.5,2.4,0.1,15,0,0.8,163,0,0.09,0.12,0
"상어, 흉상어, 생것",113,23.5,1.4,0,59,0,0.7,204,0,0.24,0.12,0
"상지차, 말린것",360,6,2.4,78.6,330,7,14.6,145,373,1.27,0.27,44
"상추, 뚝섬적출면, 생것",14,1.1,0.3,2.4,41,5,1.5,20,379,0.09,0.1,11
"상추, 로메인, 생것",29,1.8,0.2,6.4,84,161,8.7,33,222,0.23,0.16,45
"상추, 로메인, 적상추, 생것",17,2.28,0.22,2.69,143,30,1.08,42,567,0,0.134,0.15
"상추, 로메인, 청상추, 생것",23,1.78,0.32,4.59,122,12,0.61,36,290,0,0.047,0.33
"상추, 롤로로사, 생것",20,1.1,0.2,4.5,118,161,2.7,52,207,0.13,0.09,26
"상추, 반결구상추, 청상추, 생것",16,0.97,0.1,3.66,32,5,0.46,28,141,0.037,0.01,0.24
"상추, 아담, 생것",9,0.9,0.2,1.3,38,6,1,24,329,0.05,0.07,13
"상추, 아시아아이스퀸(청코스), 생것",24,1.8,0.6,4,178,102,0.5,77,231,0.17,0.25,39
"상추, 완전결구상추, 청상추, 생것",14,1.16,0.1,3.01,38,2,0.45,25,183,0.035,0.022,0
"상추, 유레이크, 생것",16,0.8,0.2,3.5,20,2,1.8,12,211,0.09,0.09,6
"상추, 적상추, 생것",18,1.1,0.3,3.6,95,36,1.6,42,557,0.11,0.31,0
"상추, 적하계, 생것",19,1.7,0.2,3.7,55,5,1.4,19,429,0.08,0.14,12
"상추, 천상, 생것",17,1.2,0.3,3.2,29,5,1.1,18,306,0.1,0.08,10
"상추, 축면상추, 적상추, 생것",15,1.31,0.21,2.76,42,6,0.96,29,298,0.027,0.094,0.15
"상추, 치마상추, 적상추, 생것",23,1.53,0.36,4.61,111,6,2.22,43,678,0,0.051,0.18
"상추, 치마상추, 청상추, 생것",20,1.88,0.36,3.48,95,17,3.41,50,591,0.016,0.136,0.24
"상추, 풍성, 생것",10,0.6,0.1,2.1,47,8,1.6,14,409,0.07,0.08,5
"상황버섯, 말린것",179,4.4,0.27,84.58,173,33,1.74,83,304,0.052,0.176,1.32
"새다래, 생것",104,18.9,2.6,0,8,0,0.4,266,0,0.1,0.13,0
"새우 볶음, 말린것, 볶은것",331,23.4,13.4,28.5,1567,981,41,433,364,0.03,0.2,0
"새우 부산물, 껍질, 생것",319,44,11.9,6.1,5,0,0.1,3,0,0,0,0
"새우 튀김용, 냉동",139,10.2,1.9,20.3,42,340,1.5,90,95,0.04,0.07,1
"새우 튀김용, 튀긴것",263,6.43,13.53,28.84,78,392,0.45,128,48,0,0.021,0
"새우, 가시발새우, 생것",72,15.2,0.5,0.6,196,0,7.4,206,0,0.02,0.04,0
"새우, 각시흰새우, 생것",85,15.7,1.6,1,1341,0,1.8,329,0,0.05,0.1,2
"새우, 긴뿔천길새우, 생것",93,20,0.8,0,71,0,1.4,138,0,0.04,0.1,0
"새우, 꽃새우, 냉동",114,22,2,0.6,2410,0,0,0,0,0.02,0.06,0
"새우, 꽃새우, 삶아서 말린것",306,55.5,5.9,4.1,4068,3500,15.6,1156,680,0.15,0.1,0
"새우, 꽃새우, 생것",114,22,2,0.6,48,0,6,261,0,0.02,0.06,0
"새우, 꽃새우, 장조림",234,25.9,2.6,25.8,125,0,20,261,0,0.01,0.11,0
"새우, 꽃새우, 찐것",119,22.78,1.7,1.52,91,947,0.32,306,170,0.032,0.024,0
"새우, 꽃새우, 튀긴것(튀김옷)",242,21.39,12.28,11.47,67,344,1.26,218,225,0.129,0.136,1.5
"새우, 닭새우, 생것",88,17,1.2,1.3,68,130,2,195,380,0.01,0.07,2
"새우, 대하, 말린것",358,62.4,3.5,15.6,236,620,4.6,995,1100,0.16,0.34,0
"새우, 대하, 생것",83,18.1,0.6,0.1,74,120,1.4,210,340,0.02,0.06,1
"새우, 물렁가시붉은새우, 생것",84,18,0.5,0.6,0,0,0,0,0,0,0,0
"새우, 보리새우, 삶은것",124,28.2,0.5,0,61,200,1,390,500,0.09,0.05,0
"새우, 보리새우, 생것",71,15.1,0.7,0.1,87,140,1.1,240,450,0.07,0.08,1
"새우, 부채새우, 생것",66,13.7,0.8,0,84,362,1.3,154,224,0,0.05,1
"새우, 시바새우, 삶아서 말린것",299,54.4,6.2,2.9,2767,0,12.1,982,0,0.14,0.11,0
"새우, 시바새우, 생것",94,20.1,0.9,0.1,77,270,2.6,260,240,0,0.09,1
"새우, 시바새우, 조미하여 말린것",320,28.5,2,46.7,1078,0,6.5,1028,0,0.03,0.1,0
"새우, 시바새우, 통조림",100,21.5,0.7,0.6,56,540,3,137,30,0.04,0.04,0
"새우, 젓새우, 생것",62,9.6,1.2,2.6,695,360,0.7,216,320,0.09,0.12,2
"새우, 젓새우, 조린것",233,19.1,1.8,35.1,490,2700,7.1,410,350,0.13,0.21,0
"새우, 징거미새우, 생것",91,18.3,1.4,0,115,0,1.8,231,0,0.05,0.06,1
"새우, 철모새우, 생것",91,18.5,0.9,0.9,338,0,0.6,572,0,0,0,0
"새우, 펄닭새우, 생것",62,13.2,0.6,0,168,0,1,150,0,0.01,0.04,1
"새우, 흰다리새우, 생것",98,21.17,0.89,0,49,122,0.89,241,330,0.02,0.03,0
"새우젓, 대때기젓, 토굴, 염절임",55,10.1,0.6,1.7,591,8155,2,230,320,0.19,0.06,0
"새우젓, 동백하젓, 토굴, 염절임",51,8.3,1,1.6,473,9173,1.2,170,286,0.17,0.05,0
"새우젓, 시바새우젓, 염절임",92,15.8,2.6,0.3,688,0,24,14,0,0,0,0
"새우젓, 염절임",131,16,0.3,15.4,500,0,8,124,0,0,0,0
"새우젓, 오젓, 토굴, 염절임",59,10.8,0.4,2.5,390,8634,0.5,204,349,0.13,0.07,0
"새우젓, 육젓, 토굴, 염절임",59,10.8,0.6,1.9,396,8791,0.6,197,342,0.18,0.09,0
"새우젓, 젓새우젓, 염절임",55,10.4,0.9,0.7,871,6200,6.2,229,210,0.07,0.09,0
"새우젓, 추젓, 염절임",49,9.1,0.6,1.2,461,9138,0.9,171,312,0.17,0.04,0
"새우젓, 추젓, 토굴, 염절임",48,8.9,0.5,1.5,421,8794,1.2,190,244,0.2,0.07,0
"샌드위치, 닭고기 ",250,16.28,11.19,20.81,58,753,1.77,185,245,0.23,0.3,0.8
"샌드위치, 생선 ",257,10.29,12.45,26.69,37,602,1.5,116,206,0.21,0.14,1.8
"샌드위치, 소고기 ",244,15.17,10.3,22.21,55,653,2.64,200,224,0.217,0.287,0
"샌드위치, 햄, 치즈 ",218,7.4,9.9,24.8,56,451,6.9,123,158,0.13,0.21,0
"샌드위치, 햄, 치즈, 채소",214,8.66,10.38,21.55,78,532,0.56,165,187,0.373,0.103,7.31
"샐러드 드레싱, 사우전드아일랜드",484,0.9,48.4,11.1,14,761,0.3,22,93,0.04,0.02,0
"샐러드 드레싱, 이탈리안",240,0.41,21.12,12.12,13,993,0.26,15,84,0.02,0,0.4
"샐러드 드레싱, 프렌치",457,0.77,44.81,15.58,24,836,0.8,19,67,0.019,0.053,3.6
"샛멸, 생것",88,19.5,0.6,0,35,250,0.3,240,340,0,0.14,0
생강 페이스트,43,0.7,0.6,8.6,16,580,0.3,14,140,0.02,0.03,120
"생강 피클, 초절임",19,0.2,0.4,4,67,2800,0.9,4,21,0,0,0
"생강, 가루 ",347,9.2,5.1,72.7,128,50,15.6,196,1629,0.06,0.2,6
"생강, 뿌리줄기, 생것",42,0.97,0.15,9.82,18,4,0.95,33,337,0,0.052,1.5
"생강, 중국산, 뿌리줄기, 생것",38,1.3,0.3,8.4,8,11,2.3,38,294,0.09,0.08,4
"생강차, 가루 ",353,0.1,0.2,90.7,4,57,0.6,27,70,0.01,0.01,0
샤베트,127,0.9,1,28.7,22,13,0.1,22,95,0.04,0.05,0
"샴페인, 알코올 6%",45,0,0,0.5,2,0,0,4,0,0,0,0
"서대, 각시서대, 생것",96,18.4,1.8,0.2,50,0,1.1,173,0,0.2,0.23,0
"서대, 궁제기서대, 생것",92,18.9,1.2,0.1,92,0,1.2,189,0,0.12,0.18,1
"서대, 참서대, 생것",85,18.6,0.4,0.5,19,0,1,208,0,0.12,0.22,1
"석류, 생것",77,0.29,0.2,20.71,6,1,0.26,39,242,0.101,0.022,7.08
"석묵, 말린것",38,9.6,0.2,9.1,215,0,7.6,93,0,0.05,0.32,0
"석이버섯, 말린것",165,11.75,0.96,68.47,47,6,54.6,89,403,0,0.284,0
"선인장, 보검선인장, 꽃, 생것",51,1.6,0.1,10.8,170,15,2.8,38,266,0.14,0.08,51
"선인장, 보검선인장, 열매, 생것",83,0.97,0.19,19.35,157,23,0.45,27,286,0.018,0.114,43.52
"선인장, 보검선인장, 줄기, 생것",34,1.03,0.12,7.15,524,17,0.44,15,316,0.011,0.099,12.17
"선인장, 저단선인장, 열매, 생것",91,0.8,0.38,21,222,0,0.38,59,316,0,0.095,43.81
"선인장, 저단선인장, 줄기, 생것",75,0.75,0.15,17.76,279,0,0.85,28,267,0,0.135,18.25
선짓국,42,6.4,1.2,1.4,22,315,109,29,57,0.03,0.18,0
"설탕, 가루 ",389,0,0,99.77,1,2,0.06,0,2,0,0.019,0
"설탕, 각설탕",387,0,0,100,0,0,0.1,0,0,0,0,0
"설탕, 백설탕",387,0,0.01,99.96,4,1,0.13,0,1,0,0.594,0
"설탕, 빙설탕",387,0.1,0,99.9,1,2,0.2,0,0,0,0,0
"설탕, 황설탕",386,0,0.01,99.81,9,1,0.16,0,8,0,0,0
"설탕, 흑설탕",379,0.12,0.01,97.88,60,4,0.69,1,94,0.07,0.627,0
"섬초롱, 데친것",34,2,0.2,7.6,70,1,1.7,43,173,0.07,0.02,0
"섬초롱, 생것",41,3,0.4,8.5,94,2,4.1,60,950,0.14,0.26,9
"성게 부산물, 보라성게, 알",177,16.1,8.7,7.6,70,0,2.4,306,0,0.27,0.42,0
"성게, 보라성게, 생것",177,16.1,8.7,7.6,70,0,2.4,306,0,0.27,0.42,0
"성게, 생것",152,15.8,8.5,2,20,190,4,196,490,0.03,0.4,0
"성게, 통조림",140,14,5.1,8.9,136,0,5,188,0,0.01,0.83,0
"성게젓, 보라성게알젓, 염절임",147,18.3,4.5,7.3,44,0,1.8,336,0,0.11,0.53,0
"성게젓, 알젓, 염절임",105,9.2,1.5,13.4,22,4091,0.7,156,171,0.1,0.15,0
"성게젓, 염절임",134,21.4,2.8,4.4,32,680,6.2,127,450,0,0,0
"성대, 별성대, 생것",91,19.3,1,0,92,0,2.1,311,0,0,0,0
"성대, 별쭉지성대, 생것",128,19.2,5.1,0,19,0,1.2,234,0,0.08,0.1,1
"성대, 생것",95,19.9,1,0.2,22,0,0.6,275,0,0.07,0.14,0
"세발나물, 데친것",23,2.29,0.28,4.2,103,249,0.82,45,223,0.316,0.097,2.82
"세발나물, 생것",18,1.61,0.14,3.59,51,321,0.83,38,322,0.148,0.138,3.43
"셀러리, 데친것",17,1.1,0.12,3.81,91,69,0.16,36,334,0.011,0.042,5.9
"셀러리, 생것",17,1.04,0.07,3.95,88,70,0.28,36,343,0.041,0.089,10.6
"소 부산물, 간, 생것",131,19,4.6,2.2,6,65,8,228,318,0.27,2.23,20
"소 부산물, 골, 생것",120,9.3,8.2,1.7,14,154,2.8,292,259,0.15,0.15,10
"소 부산물, 꼬리, 생것",246,17.4,19,0,22,42,1.5,165,189,0.07,0.12,0
"소 부산물, 미국산, 간, 삶은것",191,29.08,5.26,5.13,6,79,6.54,497,352,0.194,3.425,1.9
"소 부산물, 미국산, 골, 끓인것",151,11.67,10.53,1.48,9,108,2.3,335,244,0.069,0.217,10.5
"소 부산물, 미국산, 신장, 끓인것",157,27.28,5.27,0,14,123,5.7,338,144,0.403,2.945,0
"소 부산물, 미국산, 심장, 끓인것",165,28.48,4.73,0.15,5,59,6.38,254,219,0.101,1.21,0
"소 부산물, 미국산, 허파, 삶은것",120,20.4,3.7,0,11,101,5.4,178,173,0.035,0.143,32.7
"소 부산물, 미국산, 혀, 끓인것",284,19.29,22.3,0,5,65,2.61,145,184,0.022,0.294,1.3
"소 부산물, 선지(피), 생것",52,10.1,0,2.2,8,598,23.7,9,34,0.04,0.01,0
"소 부산물, 소장(곱창), 생것",141,9,11.3,0.1,12,45,2.1,97,98,0.05,0.11,0
"소 부산물, 신장, 생것",90,15.6,1.7,2.2,22,122,6.4,168,261,0.44,1.6,11
"소 부산물, 심장, 생것",105,15.8,4.2,0,5,70,4.5,137,249,0.38,0.3,0
"소 부산물, 양(위), 생것",61,9.9,2,0.1,14,33,3,67,105,0.05,0.16,0
"소 부산물, 외국산, 대장, 생것",162,9.3,13,0,9,61,0.8,77,120,0.04,0.14,6
"소 부산물, 천엽, 생것",51,10.3,0.7,0.1,16,28,3.5,103,95,0.05,0.25,0
"소 부산물, 허파, 생것",82,15.8,0.9,1.6,0,54,6.6,193,241,0.05,0.11,0
"소 부산물, 혀, 생것",186,13,14.5,0,5,87,2.5,136,170,0.06,0.16,0
"소고기, 미국산, 갈비, 구운것(오븐)",400,22.57,33.7,0,11,65,2.17,175,304,0.07,0.18,0
"소고기, 미국산, 목심(목심살), 삶은것",359,26.37,27.26,0,13,64,3.08,198,230,0.07,0.24,0
"소고기, 미국산, 목심(목심살), 생것",265,16.98,21.31,0,10,67,2.01,160,267,0.09,0.17,0
"소고기, 미국산, 사태, 끓인것",201,33.68,6.36,0,32,64,3.86,263,447,0.14,0.21,0
"소고기, 미국산, 설도, 구운것(석쇠)",164,28.45,4.67,0,6,38,2.35,183,238,0.068,0.154,0
"소고기, 미국산, 안심(안심살), 구운것",267,26.46,17.12,0,19,54,1.69,205,329,0.072,0.128,0
"소고기, 한우(1++등급), 등심, 생것",278,16.9,22.8,0,51,43,0,134,234,0.14,0.29,0
"소고기, 한우(1++등급), 목심(목심살), 생것",218,18.8,15.3,0,71,60,0,154,266,0.07,0.16,0
"소고기, 한우(1++등급), 설도(보섭살), 생것",204,19.7,13.3,0,57,82,0,186,281,0.17,0.44,0
"소고기, 한우(1++등급), 설도(설깃살), 생것",196,19.5,12.5,0,50,80,0,169,252,0.06,0.28,0
"소고기, 한우(1++등급), 앞다리(꾸리살), 생것",167,19.5,9.3,0,69,70,0,167,279,0.16,0.46,0
"소고기, 한우(1++등급), 양지(양지머리), 생것",198,19.1,12.9,0,55,104,0,163,170,0.06,0.22,0
"소고기, 한우(1++등급), 양지(업진살), 생것",253,17.8,19.6,0,56,101,0,170,213,0.15,0.25,0
"소고기, 한우(1++등급), 우둔(우둔살), 생것",171,20.6,9.2,0,48,48,0,189,325,0.05,0.36,0
"소고기, 한우(1++등급), 우둔(홍두깨살), 생것",161,21.2,7.8,0,65,62,0,196,354,0.11,0.31,0
"소고기, 한우(1++등급), 채끝(채끝살), 생것",265,17.8,21,0,48,48,0,173,288,0.09,0.46,0
"소고기, 한우(1+등급), 갈비(꽃갈비), 생것",391,14.7,36.43,0,4,40,1.76,135,210,0.067,0.114,0.87
"소고기, 한우(1+등급), 갈비(본갈비), 생것",375,14.69,34.65,0,4,42,2.03,122,196,0.053,0.145,1.05
"소고기, 한우(1+등급), 갈비(안창살), 생것",310,15.25,27.19,0,3,42,3.25,168,234,0.05,0.307,0.88
"소고기, 한우(1+등급), 갈비(제비추리), 생것",184,21.13,10.45,0,4,39,2.8,181,266,0.052,0.189,0.96
"소고기, 한우(1+등급), 갈비(참갈비), 생것",361,14.82,32.98,0,3,38,1.79,134,226,0.066,0.123,0.92
"소고기, 한우(1+등급), 갈비(토시살), 생것",261,15.69,21.52,0,3,42,3.38,147,254,0.05,0.347,1.36
"소고기, 한우(1+등급), 등심(꽃등심살), 생것",332,17.1,28.72,0,3,38,2.13,141,256,0.042,0.134,0.87
"소고기, 한우(1+등급), 등심(살치살), 생것",390,13.27,36.91,0,3,38,2.15,130,196,0.043,0.162,0.81
"소고기, 한우(1+등급), 등심(아래등심살), 생것",288,18.23,23.34,0,3,34,1.95,154,274,0.042,0.117,0.88
"소고기, 한우(1+등급), 등심(윗등심살), 생것",329,16.98,28.45,0,4,41,2.38,134,237,0.043,0.15,1.07
"소고기, 한우(1+등급), 목심(목심살), 생것",222,20.83,14.75,0,4,46,2.56,176,272,0.042,0.156,0.84
"소고기, 한우(1+등급), 사태(뒷사태), 생것",151,20.57,7.01,0,3,56,2.82,163,300,0.056,0.202,1.42
"소고기, 한우(1+등급), 사태(뭉치사태), 생것",137,21.89,4.85,0,3,48,2.89,185,323,0.06,0.182,0.91
"소고기, 한우(1+등급), 사태(상박살), 생것",207,20.12,13.38,0,3,53,2.73,167,273,0.05,0.2,0.93
"소고기, 한우(1+등급), 사태(아롱사태), 생것",236,20.6,16.38,0,4,62,2.56,159,235,0.048,0.169,0.93
"소고기, 한우(1+등급), 사태(앞사태), 생것",152,22.05,6.41,0,3,57,2.63,172,300,0.054,0.194,1.52
"소고기, 한우(1+등급), 살코기, 생것",223,17.06,16.97,0,3,40,2.12,131,248,0.046,0.146,0.9
"소고기, 한우(1+등급), 설도(도가니살), 생것",168,20.02,9.18,0,3,46,2.86,175,309,0.049,0.214,1.07
"소고기, 한우(1+등급), 설도(보섭살), 생것",176,21.82,9.21,0,3,42,2.87,181,321,0.05,0.208,0.9
"소고기, 한우(1+등급), 설도(삼각살), 생것",207,19.38,13.74,0,3,44,2.02,179,332,0.058,0.136,0.86
"소고기, 한우(1+등급), 설도(설깃머리살), 생것",207,19.2,13.81,0,3,42,2.75,170,290,0.082,0.223,0.91
"소고기, 한우(1+등급), 설도(설깃살), 생것",188,21.5,10.69,0,3,44,2.52,173,307,0.07,0.174,1.11
"소고기, 한우(1+등급), 안심(안심살), 생것",206,20.69,13.03,0,2,37,2.63,169,294,0.05,0.231,0.84
"소고기, 한우(1+등급), 앞다리(갈비덧살), 생것",210,18.61,14.51,0,3,35,2,137,256,0.042,0.167,1.03
"소고기, 한우(1+등급), 앞다리(꾸리살), 생것",185,19.04,11.51,0,3,49,2.65,165,282,0.06,0.213,1.16
"소고기, 한우(1+등급), 앞다리(부채덮개살), 생것",159,20.7,7.85,0,3,57,2.58,171,319,0.062,0.194,1.18
"소고기, 한우(1+등급), 앞다리(부채살), 생것",244,17.42,18.84,0,2,49,2.48,155,265,0.042,0.21,1.09
"소고기, 한우(1+등급), 앞다리(앞다리살), 생것",185,20.74,10.71,0,3,44,3,173,308,0.049,0.222,0.87
"소고기, 한우(1+등급), 양지(앞치마살), 생것",289,17.38,23.81,0,2,40,2.31,161,305,0.044,0.124,1.21
"소고기, 한우(1+등급), 양지(양지머리), 생것",194,19.77,12.11,0,3,52,2.4,161,306,0.046,0.156,0.73
"소고기, 한우(1+등급), 양지(업진살), 생것",325,15.09,28.85,0,4,40,1.61,133,208,0.052,0.119,0.9
"소고기, 한우(1+등급), 양지(업진안살), 생것",297,18.09,24.35,0,5,45,2.44,162,263,0.06,0.13,0.98
"소고기, 한우(1+등급), 양지(차돌박이), 생것",467,11.16,46.45,0,5,60,1.2,94,160,0.054,0.076,0.76
"소고기, 한우(1+등급), 양지(치마살), 생것",235,17.64,17.69,0,3,44,2.46,147,270,0.066,0.176,1.14
"소고기, 한우(1+등급), 양지(치마양지), 생것",212,20.81,13.71,0,3,51,1.71,159,309,0.043,0.125,0.87
"소고기, 한우(1+등급), 우둔(우둔살), 생것",163,22.68,7.33,0,2,41,2.64,184,316,0.043,0.172,0.99
"소고기, 한우(1+등급), 우둔(홍두깨살), 생것",158,21.61,7.31,0,3,41,1.99,182,348,0.06,0.151,0.99
"소고기, 한우(1+등급), 채끝(채끝살), 생것",305,17.92,25.29,0,4,34,1.92,151,252,0.043,0.118,0.85
"소고기, 한우(1등급), 갈비(꽃갈비), 생것",383,15.35,35.25,0,7,47,1.74,118,196,0.066,0.134,0.57
"소고기, 한우(1등급), 갈비(본갈비), 생것",303,16.94,25.61,0,6,48,2.12,136,222,0.103,0.129,0.34
"소고기, 한우(1등급), 갈비(안창살), 생것",284,15.46,24.16,0,8,44,3.22,163,252,0.078,0.294,0.71
"소고기, 한우(1등급), 갈비(제비추리), 생것",175,21.95,9.06,0,6,49,3.11,181,319,0.076,0.193,0.18
"소고기, 한우(1등급), 갈비(참갈비), 생것",390,15.89,35.76,0,4,46,1.59,112,187,0.042,0.111,0.25
"소고기, 한우(1등급), 갈비(토시살), 생것",264,19.63,20.02,0,3,46,3.21,159,258,0.06,0.348,0.25
"소고기, 한우(1등급), 등심(꽃등심살), 생것",326,17.76,27.73,0,5,42,2.09,144,245,0.082,0.138,0.92
"소고기, 한우(1등급), 등심(살치살), 생것",309,16.68,26.39,0,3,47,2.54,144,232,0.058,0.162,0.98
"소고기, 한우(1등급), 등심(아래등심살), 생것",256,17.79,19.96,0,5,44,2.21,169,293,0.043,0.117,0.44
"소고기, 한우(1등급), 등심(윗등심살), 생것",301,20.05,23.89,0,6,51,2.23,142,244,0.055,0.137,0.49
"소고기, 한우(1등급), 목심(목심살), 생것",189,21.6,10.69,0,9,61,2.63,171,295,0.06,0.15,0.16
"소고기, 한우(1등급), 사태(뒷사태), 생것",151,22.93,5.85,0,5,67,2.81,180,311,0.048,0.176,0.48
"소고기, 한우(1등급), 사태(뭉치사태), 생것",146,24.04,4.86,0,5,57,2.84,204,338,0.06,0.187,0.7
"소고기, 한우(1등급), 사태(상박살), 생것",165,21.38,8.17,0,4,59,2.56,176,294,0.076,0.189,0.94
"소고기, 한우(1등급), 사태(아롱사태), 생것",256,21.47,18.27,0,5,66,2.23,139,226,0.067,0.179,0.22
"소고기, 한우(1등급), 사태(앞사태), 생것",146,23.1,5.24,0,7,66,2.68,183,299,0.078,0.196,0.67
"소고기, 한우(1등급), 살코기, 생것",207,18.62,14.09,0,5,49,2.23,160,269,0.057,0.149,0.48
"소고기, 한우(1등급), 설도(도가니살), 생것",160,20.37,8.14,0,5,52,2.66,206,343,0.052,0.17,0.29
"소고기, 한우(1등급), 설도(보섭살), 생것",161,21.75,7.57,0,5,49,2.99,209,336,0.057,0.139,0.51
"소고기, 한우(1등급), 설도(삼각살), 생것",221,21.01,14.52,0,5,49,2.52,186,310,0.072,0.133,0.41
"소고기, 한우(1등급), 설도(설깃머리살), 생것",193,20.21,11.84,0,5,50,3.21,203,313,0.077,0.235,0.78
"소고기, 한우(1등급), 설도(설깃살), 생것",200,21.09,12.22,0,5,51,2.43,192,310,0.072,0.176,0.4
"소고기, 한우(1등급), 안심(안심살), 생것",200,19.17,13.14,0,5,45,2.78,197,337,0.07,0.215,0.38
"소고기, 한우(1등급), 앞다리(갈비덧살), 생것",184,20.39,10.73,0,5,51,2.46,197,334,0.059,0.162,0.38
"소고기, 한우(1등급), 앞다리(꾸리살), 생것",155,20.61,7.43,0,6,58,2.98,186,310,0.093,0.189,1.07
"소고기, 한우(1등급), 앞다리(부채덮개살), 생것",149,21.39,6.34,0,6,68,2.7,193,327,0.059,0.199,1.1
"소고기, 한우(1등급), 앞다리(부채살), 생것",261,20.7,19.14,0,5,58,2.44,156,257,0.052,0.173,0.63
"소고기, 한우(1등급), 앞다리(앞다리살), 생것",177,21.53,9.38,0,5,54,2.8,197,320,0.074,0.215,0.91
"소고기, 한우(1등급), 양지(앞치마살), 생것",284,18.69,22.65,0,4,47,2.14,161,286,0.053,0.156,0.33
"소고기, 한우(1등급), 양지(양지머리), 생것",185,21.16,10.49,0,5,57,2.52,192,316,0.055,0.173,0.63
"소고기, 한우(1등급), 양지(업진살), 생것",251,21.15,17.87,0,5,55,2.04,159,282,0.034,0.133,0.41
"소고기, 한우(1등급), 양지(업진안살), 생것",221,17.76,16.07,0,5,47,2.6,164,289,0.051,0.151,0.2
"소고기, 한우(1등급), 양지(차돌박이), 생것",394,16.45,35.94,0,7,66,1.43,107,171,0.043,0.113,0.58
"소고기, 한우(1등급), 양지(치마살), 생것",217,21.8,13.75,0,4,46,2.69,193,299,0.055,0.196,0.33
"소고기, 한우(1등급), 양지(치마양지), 생것",179,22.27,9.34,0,5,65,1.87,190,334,0.041,0.133,0.82
"소고기, 한우(1등급), 우둔(우둔살), 생것",164,23.08,7.29,0,5,51,2.67,197,327,0.094,0.172,0.22
"소고기, 한우(1등급), 우둔(홍두깨살), 생것",145,22.66,5.38,0,5,46,2.21,211,367,0.091,0.18,0.54
"소고기, 한우(1등급), 채끝(채끝살), 생것",218,17.59,15.79,0,4,47,2.32,181,308,0.042,0.132,0.97
"소고기, 한우(3등급), 등심, 생것",117,21.3,2.9,0,0,49,0,186,327,0.14,0.29,0
"소고기, 한우(3등급), 목심(목심살), 생것",102,21.4,1.2,0,0,69,0,179,285,0.1,0.23,0
"소고기, 한우(3등급), 설도(보섭살), 생것",108,22.2,1.5,0,0,104,0,194,271,0.07,0.31,0
"소고기, 한우(3등급), 설도(설깃살), 생것",104,22.2,1,0,0,83,0,194,312,0.1,0.25,0
"소고기, 한우(3등급), 앞다리(꾸리살), 생것",103,21.5,1.2,0,0,77,0,182,301,0.09,0.3,0
"소고기, 한우(3등급), 양지(양지머리), 생것",105,21.4,1.5,0,0,125,0,180,173,0.07,0.21,0
"소고기, 한우(3등급), 양지(업진살), 생것",112,21.7,2.1,0,0,86,0,190,322,0.07,0.23,0
