FOOD,ENERGY,CARBOHYDRATE,PROTEIN,FAT,CHOLESTEROL,FIBER,SODIUM
도우넛(팥),439,50.3,7.3,16.8,121,0.9,207
도토리묵,30,7.1,0.1,0.1,0,0.1,39
도토리묵무침,52,8.6,1.1,1.7,0,0.3,405
돈까스,287.5,15.5,13.8,18.5,88.5,0.1,453
돌나물,4,0.8,0.5,0.1,0,0.2,5
돔(옥돔),55,0.1,8.9,1.9,38,0,40
동부,9,1.7,0.7,0,0,0.1,0
동태국,60.5,3.8,9.8,1,28.7,0.6,674
동태조림,80,2.3,15,1,51.3,0.4,515
동태찌개,71.1,4.5,11,1.4,31.3,0.6,437
돼지갈비구이,375,16.4,28,21.5,79,0.1,872
돼지갈비찜,324.4,9.4,26,20,87,0.3,745
돼지고기,157,0.7,11.6,11.4,0,0,11
돼지고기(갈비),270,1.3,24.1,18.1,89.7,0,79
돼지고기(삼겹살),513,1.2,26.7,44,99.2,0,68
돼지고기가공품(등심햄),20,0.5,2.5,0.6,6.3,0,162
돼지고기가공품(런천미트),39,0.4,2.3,2.8,9.3,0,124
돼지고기가공품(베이컨),17,0.4,1.6,0.9,7.1,0,133
돼지고기가공품(비엔나소시지),105,1,4.8,8.5,17.5,0,293
돼지고기가공품(프랑크프르트소시지),97,0.8,5,7.7,17.5,0,230
돼지고기구이,427.3,1.8,28.4,32.4,89.6,0,1065
돼지고기덮밥,660.3,99.8,22.7,17.2,46.3,0.9,831
돼지고기볶음,260,10.1,15.4,17.6,44.2,0.6,562
돼지고기장조림,91,2.6,6.4,5.8,19.3,0.1,233
돼지고기찌개,136.2,5.1,10,8.7,24.6,0.6,686
돼지불고기,256,11.7,13.9,17.2,40.4,0.6,379
된장,24,2.7,2,0.7,0,0.3,898
된장,13,1.5,1.1,0.4,0,0.1,499
된장(가루된장),33,2.3,4,0.8,0,0.4,0
된장국,60,5.6,5.6,2.2,2.3,0.4,688
된장찌개,60.2,6.1,5.4,2.2,1.8,0.6,637
두릅,13,2.2,2.2,0.2,1.5,0.8,3
두릅무침,54,8.1,3.2,2.5,0,1.2,987
두부,50,0.8,5.6,3.4,0,0.1,3
두부김치,156,5.4,12.1,11,7.1,0.9,371
두부부침,50.1,0.6,4.1,3.9,0,0.1,111
두부조림,89.4,3.3,8.2,5.9,0,0.5,355
두부찌개,88,5.6,8.5,4.7,0.7,0.4,285
두유음료,144,9.6,9,7.4,0,0,277
들기름,35,0,0,4,0,0,0
들깨,8,0.8,0.3,0.7,0,0.6,0
들미나리,5,1.1,0.7,0.1,0,0.4,5
딸기,26,6.7,0.6,0.2,0,0.4,10
딸기잼,49,12.6,0.1,0,0,0.1,1
땅콩,74,2.8,3.3,6.3,0,0.4,0
땅콩버터,30,1.6,0.6,2.6,0,0.1,23
떡국,399,79.3,11.2,3.4,70.3,0.1,1109
떡만두국,470,73.3,15.6,12.3,50.7,0.4,1067
떡볶이,170,34.1,4.7,1.9,5.6,0.4,457
라면,521,81.6,13.2,19.8,75.9,0.7,1339
롤빵,142,21.9,4.5,4.1,0.5,0,221
롤케익,219,28.9,4.5,9.9,0,0.1,69
마가린,36,0,0,4.1,0.1,0,22
마늘,13,3,0.5,0,0,0.1,0
마늘장아찌,5.5,1.2,0.4,0,0,0.1,8
마늘쫑무침,14,2.4,0.5,0.6,0,0.3,75
마늘쫑볶음,31,4,0.8,1.8,0,0.7,59
마늘쫑장아찌,5.5,1.4,0.3,0,0,0.2,1
마요네즈,74,0.9,0.1,7.5,21.2,0,46
마파두부,59,3.4,4,3.7,2.5,0.3,360
막걸리,184,7.2,6.4,0,0,0,24
만두국,473,42.4,24.9,22.8,149.8,0.7,2190
맛술(미림),7,1.8,0,0,0,0,2
맥주,131,9.9,1.1,0,0,0,18
머위,9,1.9,1.2,0.1,0,0.4,6
머위나물,29,3,1.6,1.8,0,0.7,136
멍게,21,2,1.8,0.5,16.7,0,0
메기,86,0.1,11.3,4,48,0,35
메기매운탕,103,4.6,11.9,4.5,37.6,0.7,726
메밀국수(건면),447,86.7,18.2,3,0,0,1105
메추라기알,70,0.9,5,4.8,188,0,62
메추라기알장조림,88,4.4,5.9,4.9,207.3,0,613
"멸치(자건품, 중)",12,0.2,1.9,0.3,5.7,0,43
멸치볶음,47,2.1,4.2,2.3,9.5,0,146
명란알,28,0.3,5.6,0.4,85,0,41
명란젓,18,0.4,3.1,0.5,52.5,0,530
명태(동태),37,0.1,8,0.3,29,0,105
명태(북어),58,0,12.3,0.6,59.4,0,99
모듬회,185,6.4,32.4,3,109.1,0.4,740
모밀국수,472,92.4,20.6,3.2,2.6,0.7,1462
모시조개젓,5,0.2,0.9,0.1,4.4,0,0
목이버섯(말린것),5,1.4,0.2,0,0,0.2,1
무,28,6.8,1.2,0.1,0,0.5,9
무국,61.4,10.8,4.3,0.9,5,0.8,418
무나물,53,6.5,1.3,3,0,0.5,226
무된장국,56,10.3,3.6,0.7,1.8,0.8,674
무말랭이,11,2.6,0.4,0.1,0,0.3,5
무말랭이무침,23.3,4.3,0.8,0.7,0,0.5,93
무말랭이장아찌,19,3.5,0.7,0.6,0,0.4,228
무생채,55,9.1,1.6,2.1,0,0.8,277
무장아찌(무초절임),13.2,1.7,0.3,0.9,0,0.2,198
무짠지,3,0.8,0.1,0,0,0.2,256
무청,11,2.7,1.2,0.1,0,0.6,22
문어,7,0,1.6,0.1,9,0,21
물냉면,583,89,33.1,10.3,198.5,2.2,4067
물엿,59,15.1,0,0,0,0,0
미꾸라지,58,0.1,9.7,1.7,106.2,0,51
미나리나물,18.5,1.9,0.7,1.3,0,0.4,114
미나리무침,21,2.7,0.7,1.2,0,0.4,175
미더덕,8,0.4,1,0.2,3.2,0,43
미숫가루,85,14.9,3.1,1.1,0,0.3,6
미역(말린것),6,2.2,1.2,0.2,0,0.1,366
미역(생것),3,1.5,0.6,0.1,0,0.2,0
미역국,20.4,2.4,2.1,1.2,1.8,0.1,780
미역줄기볶음,12,1.5,0.6,0.9,0,0.2,271
미역초무침,23.1,4.4,0.8,1,0,0.3,256
밀가루(중력분),170,33.3,5.2,0.5,0,0.1,9
바나나,108,28.5,1.6,0.3,0,0.3,3
바지락조개(모시조개),24,1,4,0.3,8.8,0,130
밤,16,3.7,0.3,0.1,0,0.1,0
배,59,16.4,0.5,0.2,0,0.9,5
배추,6,1.7,0.5,0,0,0.4,18
배추겉절이,33.4,3.5,1.1,2.3,0,0.7,502
배추나물,13,1.6,0.6,0.8,0,0.3,171
백미,289,64,5,0.3,0,0.2,6
백미죽,194.6,43,3.2,0.2,0,0.2,4
백설기,222,49.3,3.3,0.8,0,0.1,222
백합,19,0.9,2.9,0.3,11,0,0
뱅어포,36,0.1,6,1.1,83.4,0,68
버섯볶음,26.1,2.5,0.9,1.8,0.1,0.3,164
버터,37,0,0,4.2,10,0,36
보리,34,7.7,0.9,0.1,0,0.1,0
보리밥,380.6,84.2,6.8,0.5,0,0.3,7
보신탕,154,7.5,11,10,19.8,1.4,671
보쌈,202,12.4,28.4,5.3,74.6,1.8,1878
복매운탕,93,6.3,15.9,1.5,43.2,1.4,644
복숭아(통조림),88,24,0.3,0.1,0,0.5,8
복어,80,0.1,16.9,0.9,56.7,0,137
복지리,123,6.2,22.1,1.9,64.6,0.7,411
볶음밥,461.5,71.6,12,12.7,129.7,0.5,587
볼락,46,0,8,1.3,33.8,0,34
부대찌개,171.3,13.3,9.1,9.8,16.9,0.9,778
부추,6,1.2,0.9,0.2,0,0.3,2
부추무침,24.3,3.3,1.7,1.1,0,0.7,390
부추전,158,21.8,4.6,5.3,24.8,0.4,317
부추전(가정식),263,36.4,7.7,8.9,41.4,0.6,528
부추전(외식),44,6.1,1.3,1.5,6.9,0.1,88
북어국,112.4,2.8,16.3,3.8,119.9,0.2,861
북어조림,77,3,13.9,0.7,44.5,0,341
북어찜,120,5.8,18.7,2.4,57.7,0.4,572
분말조미료(쇠고기),2,0.3,0.1,0,0,0,262
불고기,197.5,6.9,17.4,10.9,53,0.2,700
불고기(가정식),132,4.6,11.6,7.3,35.3,0.2,466
불고기(외식),230.4,8.1,20.3,12.8,61.8,0.3,816
붉은고추,1,0.2,0.1,0,0,0.1,0
브로콜리,8,1.5,1.5,0.1,0,0.4,3
비름,12,2,1.3,0.3,0,0.3,2
비름나물,29,2.9,1.7,1.8,0,0.4,153
비빔국수,599,117.2,17,5.8,62,1.5,2933
비빔냉면,552,96.1,25.6,7.7,117.3,0.9,1354
비빔밥,588.9,95.1,20.5,14.1,214.7,1.8,883
비스킷(소프트),131,15.7,1.4,6.9,5.5,0,55
비스킷(하드),86,15.6,1.5,2,4.4,0,64
빵가루,28,5.8,1.1,0.3,0,0,43
사과,69,18.2,0.3,0.6,0,0.8,11
사우전드아일랜드드레싱,72,1.7,0.1,7.3,39,0.1,114
사이다,100,25.3,0,0,0,0,13
사탕,24,5.9,0,0,0,0,2
삼겹살구이,610.4,1.5,31.7,52.4,118,0,843
삼계탕(닭백숙),395,32,30.4,15.4,134.5,0.6,857
삼치,55,0,7.6,2.4,28.8,0,23
삼치구이,77,0,8.6,4.4,32.6,0,282
삼치조림,72.5,4.3,8.5,2.6,27.7,0.6,391
상추,2,0.4,0.3,0.1,0,0.2,2
상추겉절이,34,2.8,1.3,2.5,0,0.6,490
새우(중하),33,0,7,0.3,45.5,0,95
"새우(중하,자건품)",15,0.1,2.7,0.3,19.1,0,0
새우볶음,9.1,0.4,1.4,0.2,9.8,0,39
새우젓,2,0.1,0.4,0,6.9,0,325
새우젓무침,2.4,0.1,0.4,0.1,3.1,0,311
샌드위치,358,35,12.8,18.4,191.2,0.3,439
생강,1,0.1,0,0,0,0,0
생선가스,116,6.2,9.7,5.7,68.3,0,301
생선전,66.1,3.2,5.2,3.4,52.8,0,229
생선초밥,454.2,74.8,25.4,4.2,119.7,0.4,341
샤베트,102,23,0.7,0.8,4.8,0,10
선짓국,70,4,9.9,1.9,28,0.6,617
설렁탕,171.1,18.9,13,4.8,37.5,0.4,1653
설탕(백설탕),46,12,0,0,0,0,0
설탕(황설탕),46,11.9,0,0,0,0,1
셀러리,2,0.5,0.2,0,0,0.1,14
소금,0,0,0,0,0,0,336
소라,19,0.5,3.6,0.2,21.2,0,92
소면(건면),490,104.4,11.7,0.3,0,0.3,1945
소주,63,0,0,0,0,0,0
소주,282,0,0,0,0,0,0
송편(깨),95,20.5,1.6,0.6,0,0.1,97
"쇠고기,수입우(갈비)",263,0.9,18.5,19.5,55,0,41
"쇠고기,수입우(등심)",101,0.4,7.9,7.2,27,0,20
"쇠고기,수입우(사태)",42,0.3,6.2,1.6,18.6,0,18
"쇠고기,수입우(양지)",53,0.4,7.4,2.3,18.6,0,17
"쇠고기,수입우(우둔)",34,0.3,5.5,1.1,13.8,0,11
"쇠고기,한우",48,0.2,4.8,2.8,0,0,65
"쇠고기,한우(등심)",86,0.5,9,5.1,28.8,0,199
"쇠고기,한우(사태)",46,0.3,7.1,1.6,17.2,0,26
"쇠고기,한우(양지)",58,0.4,7.5,2.8,17.9,0,126
쇠고기국,66,3.2,7.7,2.7,20.2,0.4,546
쇠고기미역국,63,3.7,7.3,3.4,16.3,0.2,1056
쇠고기부산물(간),39,0.4,5.7,1.4,73.8,0,20
쇠고기부산물(곱창),56,0.2,3.6,4.5,69.6,0,18
쇠고기부산물(선지),20,1,4,0,13.6,0,239
쇠고기산적,104,9.1,6.5,4.6,31.6,0.3,242
쇠고기전골,104,6.1,8.7,5.5,23.3,0.8,367
수박,31,6.9,1,0.5,0,0.3,1
수수,25,5.2,0.7,0.2,0,0,0
수수밥,465.8,103.5,8.6,1,0,0.8,9
수육(쇠고기),127.1,3.2,18.8,4.2,60.4,0.1,66
수제비,453.2,14.3,2.8,0.2,94.4,0,0
숙주나물,4,0.6,0.8,0,0,0.1,1
숙주나물,15.1,1.1,1.1,1,0,0.2,260
순대,64.1,1.1,0.8,3.1,0,0.6,848
순대국,127,11.3,6.7,5.1,44.3,0.9,272
순두부,40,0.9,4,2.7,0,0.1,5
순두부찌개,80.3,4.3,7.7,4.3,75.5,0.6,374
스낵과자(밀가루),145,20.6,2.2,5.9,0,0.1,213
스낵과자(옥수수),237,29.4,2.3,12.2,0,0,212
스파게티,514.4,85.9,16.5,9.9,11.3,0.5,419
스파게티(건면),309,63.4,9.5,0.2,0,0.2,16
스프,152.2,22.2,3.4,6.2,14.2,1,61
시금치,14,2.7,1.4,0.2,0,0.4,24
시금치나물,26,3.1,1.7,1.3,0,0.4,154
시금치된장국,35.1,5.1,3.4,0.8,1.4,0.6,621
시래기된장국,38,5.4,3.7,0.8,1.9,0.8,784
시리얼(콘푸레이크),93,21.7,1.7,0.2,0,0.6,248
식빵,156,28.1,4.6,2.9,8.3,0.2,36
식초,1,0.2,0,0,0,0,0
식혜,89,26.6,0.5,0,0,0,10
쌀과자,183,31.3,1.3,6.4,0,1.6,90
쌀밥,405,89.5,6.6,0.4,0,0.3,8
쌈장,35,5.3,1.8,0.8,0,0.3,592
쌍화차(분말),74,17.5,0.5,0.2,0,0,27
쑥,31,9,2.4,0,0,2.1,5
쑥갓,1,0.2,0.2,0,0,0.1,2
쑥된장국,52.5,11.7,4.5,0.5,1.7,2.5,513
씀바귀,12,2.8,0.9,0.1,0,0.4,11
씀바귀나물,43,6.1,1.6,2.2,0,0.6,376
아구찜,89,5.6,12.5,2.5,39.3,1.1,350
아귀,48,0.2,10.1,0.4,38.5,0,91
아몬드,48,1.6,1.5,4.3,0,0,0
아스파라거스,0,0.1,0.1,0,0,0,0
아욱,10,1.3,1.8,0.3,0,0.5,18
아욱된장국,39.2,4.2,5.2,1,9.7,0.8,663
아이스크림,216,27.8,4.7,9.6,38.4,0,132
"아이스크림(소프트,바닐라)",178,17.8,3.3,10.4,37.6,0,49
아이스크림바(초콜렛),173,22.6,3,8.8,37.6,0,61
아이스크림콘(바닐라),167,22,2.7,7.7,24.4,0,84
약과,255,43,2.3,8,42.6,0.5,20
양념꽃게장,39.2,3.9,5.3,0.5,23.7,0.5,709
양배추,6,1.6,0.2,0,0,0.2,2
양배추샐러드,56,2.9,0.3,4.8,13.6,0.2,52
양상추,3,0.8,0.3,0,0,0.2,2
양송이버섯,2,0.5,0.4,0,0,0.1,1
양주(위스키),71,0,0,0,0,0,1
양파,3,0.8,0.1,0,0.1,0,0
어묵,35,4.4,3,0.6,4.1,0,187
어묵국,53,7,4.6,0.9,10.5,0.2,368
어묵볶음,88.7,10.1,5.5,3.1,12.3,0.1,526
어패류액젓(멸치액젓),1,0,0.2,0,4,0,171
어패류액젓(어란젓),12,0.2,1.5,0.5,17.5,0,0
어패류액젓(창란젓),12,0.8,1.3,0.3,16.5,0,1
연근,17,4.1,0.5,0,0,0.2,9
연근조림,24,5.2,0.8,0.3,0,0.4,182
연두부,45,0.9,5.7,2.6,0,0.1,6
연두부찌개,88.2,2.8,9.5,5,77.8,0.2,128
연어(훈제),34,0.1,4.6,1.5,9,0,159
열무,6,1.3,1.1,0,0,0.4,16
엿,127,31.4,0.7,0,0,0,3
오곡밥,334.1,72.5,7,0.8,0,0.7,222
오렌지,86,22.4,1.8,0.2,0,0.6,2
오렌지주스,84,21,1.4,0.4,0,0,4
오리고기,525,1.7,26.4,45.5,132,0,140
오리고기로스,508.1,2,25.5,43.9,127.3,0.1,834
오므라이스,519.4,90.8,14.6,9.7,206.8,0.9,858
오이,4,0.9,0.3,0,0,0.2,2
오이생채,7.1,1.2,0.3,0.3,0,0.2,258
오이생채(가정식),6.5,1.1,0.2,0.3,0,0.2,235
오이생채(단체급식),12,1.9,0.4,0.6,0,0.4,423
오이지,1,0.3,0.1,0,0,0.1,217
오이지무침,7.1,1.2,0.3,0.3,0,0.2,258
오이피클,33.7,9.3,0.2,0.1,0,0.2,244
오징어,33,0,6.8,0.5,102.9,0,63
오징어(말린것),53,0,10.2,1,127,0,147
오징어국,62,3.7,10.2,0.8,141.7,0.6,494
오징어덮밥,455.6,84.2,23.7,1.9,249.3,1.4,736
오징어무침,40,2.8,6.1,0.6,85.8,0.3,319
오징어볶음,95,6.8,10.6,3.2,147.8,0.5,338
오징어젓무침,15.4,0.4,2.8,0.2,29.3,0,777
오징어찌개,38,1.8,6.6,0.5,93.9,0.2,216
오징어채무침,98.3,5.7,13.5,2.5,176.4,0.2,416
오징어채볶음,108,5.3,14.2,3.2,189.6,0.1,485
오징어튀김,46,2.3,4.5,1.9,63.5,0,39
오징어포조림,31,2,4.4,0.6,58.2,0,137
옥수수기름,35,0,0,4,0,0,0
옥수수통조림,10,2.2,0.3,0.1,0,0.1,29
옥수수튀밥,90,19.1,2.9,1,0,0.8,1
올리브,4,1,0.1,0.1,0,0.2,2
올리브유,37,0,0,4,0,0,0
완두콩,8,1.5,0.6,0,0,0.2,0
완자전,84,2.5,4.6,6.1,35.1,0.1,125
요구르트(액상),98,22.4,2.3,0.2,0,0,93
"요구르트(호상, 딸기)",109,17.7,3.5,3,12.1,0.1,58
요구르트음료,55,12.5,1.3,0.1,0,0,52
우거지국,30,3,3.1,0.9,5,0.5,542
우동,370,56.6,20.2,5.9,148.9,0.4,2321
우동국수(생면),177,36.8,4.4,0.5,0,0.2,192
우스터소스,4,0.9,0,0,0,0,84
우엉,10,2.3,0.5,0,0,0.2,1
우엉조림,44,8.6,1.4,1,0,0.7,246
우유,120,9.4,6.4,6.4,22,0,110
유부,48,4,4.6,2.2,0,0.5,1
유부초밥,463.4,81.3,16.5,8.2,0,1.6,444
유자차(분말),25,6.3,0,0,0,0.1,0
육개장,86,6.2,8.6,3.8,45.9,1.1,621
율무차(분말),60,11.5,1.1,1.1,0,0.1,59
은행,9,1.9,0.3,0.1,0,0,0
이온스포츠음료,63,15.8,0,0,0,0,100
인삼차(과립),28,6.8,0.1,0,0,0,2
인절미,109,22.4,2.5,0.9,0,0.2,174
임연수구이,102,0,10.3,6.3,35,0,197
임연수어,83,0,9.9,4.4,33.5,0,55
자장면,794,113.9,22.2,26,17.6,0.8,1131
자장소스,33,4.4,2.4,0.8,0,0.2,581
잔멸치볶음,16,0.8,1.5,0.7,3.8,0,56
잔치국수,638,118.7,22.5,6.6,135.6,1.6,3489
잡채,189.4,28.5,4.4,7,8.8,0.5,489
잡채밥,447.4,75.4,9.5,11,13.5,0.5,469
잣,20,0.3,0.4,2,0,0,0
장어(갯장어),156,0.1,15.7,9.5,60,0,52
