83,18.1,0.6,0.1,48,0,4,175,0,0,0,0
77,17.4,0.2,0.2,50,178,0.6,233,286,0.09,0.29,1
86,19.4,0.2,0.4,21,0,0.5,250,0,0.18,0.33,1
93,15.1,3,0.3,44,440,3,125,280,0,0,0
87,16.1,1.7,0.8,149,0,1.2,238,0,0.26,0.1,0
124,15.5,5.1,3,230,124,15.8,256,320,0.07,0.39,2
82,16.77,1.2,0,60,97,0.83,270,296,0.05,0.085,0.9
49,4.78,0.51,9.25,131,3,1.63,100,343,0.062,0.239,1.77
287,22.4,6.3,50.2,1051,0,12.8,249,998,0.82,1.67,0
50,5.33,0.41,9.46,137,5,2.5,117,487,0.563,0.532,2.52
19,1,0.1,4.4,17,1,0.32,27,179,0.018,0.086,0
290,14.53,2.4,65.59,235,13,3.47,496,3471,0.125,0.772,0
19,1.13,0.03,4.36,16,0,0.26,35,232,0.035,0.163,0
23,1.4,0.1,5.2,18,880,0.6,33,260,0.03,0.04,7
70,15,0.3,0.9,29,0,2.1,107,0,0,0,0
54,7.41,0.19,5.59,25,5476,1.09,127,422,0.193,0.536,0
103,9.15,0,16.54,25,4783,1.63,145,480,0.039,1.624,0
83,3.72,0.01,16.96,21,6128,0.19,46,456,0.065,0.29,3.27
127,3.4,3.4,20.6,18,418,5.3,36,112,0.04,0.08,0
12,0.9,0.2,4.6,79,380,1.2,8,48,0,0.03,0
40,4.6,1.8,1.3,14,286,4.4,25,42,0.01,0.14,0
537,51.39,30.43,14.41,46,71,4.92,809,947,0.364,0.791,0
195,23.19,11,0.83,14,32,1.99,273,313,0.027,0.401,0
98,19.8,1.3,0.4,28,0,0.5,173,0,0,0,0
121,20,3.9,0,0,0,0,0,0,0,0,0
147,18.5,7.5,0.1,46,100,1,191,260,0.13,0.11,1
186,26.3,8.1,0.1,104,2056,1.8,242,281,0.15,0.25,0
179,10.4,14.9,0,10,0,12.6,286,0,0,0,0
41,0.1,0.1,11,8,6,0,9,87,0.01,0.01,1
51,0.41,0.04,13.66,6,0,0.15,15,132,0.057,0.051,13.95
70,0.6,0,18.9,18,2,3.6,23,214,0.06,0.07,18
223,1.59,0.05,60.45,22,1,0.74,69,584,0,0.59,2.37
71,0.6,0.1,18.8,6,12,0.3,12,185,0.07,0.08,28
66,0,0.04,18.36,21,0,0,69,547,0.053,0.191,2.43
65,0.29,0.04,17.76,8,1,0.12,23,171,0.028,0,1.22
225,0.3,0.1,55.7,5,13,0.7,6,123,0.04,0.27,10
63,0.5,0.1,16.9,7,1,0.1,16,200,0.02,0.02,55
255,1.94,0.16,68.61,21,3,0.64,78,647,0.01,0.224,5.11
335,12.2,2.8,67.5,740,0,22.6,115,0,0.45,0.6,10
469,5,18.2,71.4,125,554,0.8,274,721,0.34,0.07,0
536,4.95,30.33,60.92,20,342,1.14,193,818,0,0.012,15.34
143,2.68,8.2,11.17,19,529,0.65,52,254,0.077,0.06,10
293,3.54,11.3,44.16,22,258,0.69,143,604,0.09,0.027,7.04
219,2.65,11.59,28.51,17,15,0.54,79,496,0.134,0.033,6.7
90,2.43,0.09,20.5,11,1,0.61,46,482,0.029,0.019,9.8
77,2.07,0.08,17.39,8,1,0.65,35,374,0.04,0.022,9.92
67,2.01,0.04,15.08,9,1,0.58,33,412,0.06,0.027,10.51
80,2.11,0.09,18.17,10,2,0.48,36,402,0.035,0.016,11.96
79,2.34,0.09,17.87,5,1,0.49,50,351,0.117,0.052,0
68,2.25,0.03,15.18,5,0,0.51,51,359,0.05,0.065,0
69,1.39,0.05,15.97,7,2,0.34,59,386,0.064,0.015,5.64
60,1.45,0.02,13.79,7,2,0.41,63,390,0.071,0.048,5.64
355,12.1,1.4,73.6,11,18,2,102,299,0.23,0.07,0
85,2.3,0.08,19.38,8,0,0.52,73,394,0.038,0.022,12.38
76,1.99,0.04,17.43,8,1,0.61,55,254,0.038,0.02,13.1
70,1.93,0.03,16.07,6,1,0.4,62,335,0.034,0.038,4.47
75,1.94,0.05,17.28,6,0,0.42,58,318,0.025,0.02,5.8
82,2.8,0,18.5,5,18,0.8,56,588,0.17,0.03,31
85,2.3,0,19.5,9,18,0.7,52,498,0.16,0.03,0
64,1.8,0,14.7,4,4,1.7,37,482,0.14,0.04,19
24,2.66,0.28,4.22,156,5,1.52,49,516,0,0.101,91
36,3.5,0.2,7.3,193,33,2.7,59,378,0.24,0.16,135
223,25.8,0.4,43.8,518,0,2.7,256,0,0.07,0.05,4
350,21.2,1.1,63.9,99,2,8.9,338,0,0.41,0.31,0
170,8.46,0.9,31.9,59,3,2.89,270,575,0.329,0.112,2.12
